UPS Ground,,,,,,,
Dependable UPS Ground Service that reaches every address throughout the 48 contiguous states with delivery time,,,,,,,
based on destination.  UPS Ground Service now features the same advanced electronic package tracking available,,,,,,,
with UPS air services.,,,,,,,

Any fraction of a pound over the weight shown takes the next higher rate.,,,,,,,
,,,,,,,
Weight,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8
1,$3.44,$3.63,$3.88,$3.96,$4.04,$4.13,$4.19
2 ,$3.50,$3.69,$4.11,$4.22,$4.47,$4.54,$4.80
3 ,$3.56,$3.82,$4.30,$4.44,$4.75,$4.89,$5.25
4 ,$3.68,$3.94,$4.46,$4.63,$4.99,$5.19,$5.61
5 ,$3.80,$4.06,$4.58,$4.79,$5.19,$5.40,$5.86
6 ,$3.92,$4.16,$4.65,$4.89,$5.34,$5.57,$6.11
7 ,$4.04,$4.26,$4.72,$4.99,$5.49,$5.74,$6.36
8 ,$4.16,$4.36,$4.80,$5.07,$5.64,$6.07,$6.75
9 ,$4.28,$4.46,$4.88,$5.15,$5.84,$6.40,$7.14
10 ,$4.40,$4.58,$4.96,$5.29,$6.04,$6.73,$7.61
11 ,$4.52,$4.70,$5.06,$5.43,$6.32,$7.17,$8.08
12 ,$4.64,$4.82,$5.16,$5.63,$6.60,$7.61,$8.55
13 ,$4.73,$4.94,$5.29,$5.83,$6.91,$8.01,$9.08
14 ,$4.82,$5.09,$5.42,$6.08,$7.22,$8.41,$9.61
15 ,$4.91,$5.24,$5.55,$6.33,$7.58,$8.81,$10.14
16 ,$5.00,$5.39,$5.77,$6.60,$7.94,$9.24,$10.67
17 ,$5.09,$5.57,$5.99,$6.87,$8.30,$9.67,$11.23
18 ,$5.18,$5.75,$6.20,$7.14,$8.66,$10.10,$11.79
19 ,$5.29,$5.93,$6.41,$7.41,$9.02,$10.53,$12.35
20 ,$5.40,$6.10,$6.62,$7.68,$9.38,$10.96,$12.91
21 ,$5.51,$6.27,$6.83,$7.95,$9.74,$11.39,$13.42
22 ,$5.63,$6.44,$7.04,$8.22,$10.10,$11.82,$13.93
23 ,$5.75,$6.61,$7.25,$8.49,$10.46,$12.25,$14.44
24 ,$5.87,$6.78,$7.46,$8.76,$10.82,$12.68,$14.95
25 ,$5.99,$6.95,$7.67,$9.03,$11.18,$13.11,$15.46
26 ,$6.11,$7.12,$7.88,$9.30,$11.54,$13.54,$15.97
27 ,$6.23,$7.29,$8.09,$9.57,$11.90,$13.97,$16.52
28 ,$6.35,$7.45,$8.30,$9.84,$12.26,$14.40,$17.07
29 ,$6.47,$7.61,$8.51,$10.11,$12.62,$14.83,$17.62
30 ,$6.59,$7.77,$8.72,$10.38,$12.98,$15.26,$18.17
31 ,$6.71,$7.93,$8.93,$10.65,$13.34,$15.69,$18.72
32 ,$6.83,$8.09,$9.14,$10.92,$13.70,$16.14,$19.27
33 ,$6.95,$8.25,$9.35,$11.19,$14.06,$16.59,$19.82
34 ,$7.07,$8.41,$9.56,$11.46,$14.42,$17.04,$20.37
35 ,$7.18,$8.58,$9.77,$11.73,$14.78,$17.49,$20.92
36 ,$7.29,$8.75,$9.98,$12.00,$15.14,$17.94,$21.47
37 ,$7.40,$8.92,$10.19,$12.27,$15.50,$18.39,$21.97
38 ,$7.50,$9.09,$10.40,$12.54,$15.85,$18.84,$22.47
39 ,$7.60,$9.26,$10.61,$12.81,$16.18,$19.29,$22.97
40 ,$7.70,$9.43,$10.82,$13.08,$16.51,$19.74,$23.47
41 ,$7.81,$9.60,$11.03,$13.35,$16.81,$20.19,$23.97
42 ,$7.92,$9.77,$11.24,$13.62,$17.11,$20.64,$24.47
43 ,$8.03,$9.94,$11.45,$13.89,$17.41,$21.09,$24.97
44 ,$8.11,$10.11,$11.66,$14.16,$17.71,$21.49,$25.47
45 ,$8.19,$10.25,$11.87,$14.43,$18.01,$21.89,$25.97
46 ,$8.27,$10.39,$12.06,$14.70,$18.31,$22.29,$26.47
47 ,$8.34,$10.53,$12.25,$14.97,$18.61,$22.69,$26.97
48 ,$8.41,$10.64,$12.41,$15.24,$18.91,$23.09,$27.47
49 ,$8.48,$10.75,$12.57,$15.42,$19.21,$23.45,$27.97
50 ,$8.55,$10.86,$12.73,$15.60,$19.51,$23.81,$28.47
51 ,$8.62,$10.94,$12.83,$15.78,$19.76,$24.17,$28.81
52 ,$8.69,$11.02,$12.93,$15.90,$20.01,$24.43,$29.15
53 ,$8.76,$11.10,$13.03,$16.02,$20.26,$24.69,$29.49
54 ,$8.83,$11.18,$13.13,$16.14,$20.40,$24.95,$29.72
55 ,$8.90,$11.26,$13.23,$16.26,$20.54,$25.07,$29.95
56 ,$8.97,$11.34,$13.33,$16.38,$20.64,$25.19,$30.06
57 ,$9.03,$11.42,$13.43,$16.50,$20.74,$25.31,$30.17
58 ,$9.09,$11.49,$13.53,$16.62,$20.84,$25.43,$30.28
59 ,$9.15,$11.56,$13.63,$16.72,$20.94,$25.55,$30.39
60 ,$9.21,$11.63,$13.73,$16.82,$21.04,$25.66,$30.50
61 ,$9.27,$11.70,$13.83,$16.92,$21.14,$25.77,$30.61
62 ,$9.33,$11.77,$13.92,$17.02,$21.24,$25.88,$30.72
63 ,$9.40,$11.84,$14.01,$17.12,$21.34,$25.99,$30.90
64 ,$9.46,$11.91,$14.10,$17.22,$21.44,$26.10,$31.08
65 ,$9.52,$11.98,$14.19,$17.32,$21.54,$26.21,$31.24
66 ,$9.58,$12.05,$14.28,$17.42,$21.64,$26.32,$31.40
67 ,$9.64,$12.12,$14.37,$17.52,$21.74,$26.43,$31.60
68 ,$9.70,$12.20,$14.46,$17.62,$21.84,$26.54,$31.80
69 ,$9.76,$12.28,$14.55,$17.72,$21.94,$26.65,$32.00
70 ,$9.82,$12.36,$14.64,$17.82,$22.04,$26.76,$32.20
71 ,$14.68,$16.41,$18.26,$20.13,$24.04,$28.18,$32.87
72 ,$18.48,$19.96,$21.53,$22.63,$26.03,$29.62,$33.53
73 ,$21.38,$22.94,$24.68,$25.36,$28.22,$31.13,$34.20
74 ,$23.52,$25.15,$26.78,$27.68,$30.15,$32.55,$34.86
75 ,$25.08,$26.77,$28.15,$28.96,$31.31,$33.28,$35.53
76 ,$25.69,$27.37,$28.90,$29.77,$32.12,$33.68,$35.93
77 ,$26.19,$27.87,$29.51,$30.37,$32.72,$34.08,$36.33
78 ,$26.64,$28.37,$30.01,$30.87,$33.22,$34.48,$36.73
79 ,$27.08,$28.83,$30.41,$31.35,$33.68,$34.88,$37.13
80 ,$27.52,$29.28,$30.81,$31.75,$34.08,$35.28,$37.53
81 ,$27.96,$29.68,$31.21,$32.15,$34.48,$35.68,$37.93
82 ,$28.34,$30.08,$31.61,$32.55,$34.88,$36.08,$38.33
83 ,$28.72,$30.48,$32.01,$32.95,$35.28,$36.48,$38.73
84 ,$29.10,$30.88,$32.41,$33.35,$35.68,$36.88,$39.13
85 ,$29.48,$31.28,$32.81,$33.75,$36.08,$37.28,$39.53
86 ,$29.83,$31.64,$33.21,$34.15,$36.48,$37.68,$39.93
87 ,$30.18,$32.00,$33.61,$34.55,$36.88,$38.08,$40.33
88 ,$30.53,$32.35,$34.01,$34.95,$37.28,$38.48,$40.73
89 ,$30.88,$32.70,$34.41,$35.35,$37.68,$38.88,$41.13
90 ,$31.23,$33.05,$34.81,$35.75,$38.08,$39.28,$41.53
91 ,$31.58,$33.40,$35.16,$36.15,$38.48,$39.68,$41.93
92 ,$31.91,$33.75,$35.51,$36.50,$38.88,$40.08,$42.33
93 ,$32.24,$34.10,$35.86,$36.85,$39.25,$40.48,$42.73
94 ,$32.57,$34.45,$36.21,$37.20,$39.62,$40.88,$43.13
95 ,$32.90,$34.80,$36.56,$37.55,$39.99,$41.28,$43.53
96 ,$33.23,$35.15,$36.91,$37.90,$40.36,$41.68,$43.93
97 ,$33.56,$35.50,$37.26,$38.25,$40.73,$42.08,$44.33
98 ,$33.89,$35.85,$37.61,$38.60,$41.10,$42.48,$44.73
99 ,$34.22,$36.20,$37.96,$38.95,$41.47,$42.88,$45.13
100 ,$34.55,$36.55,$38.31,$39.30,$41.84,$43.28,$45.53
101 ,$34.86,$36.90,$38.66,$39.65,$42.21,$43.68,$45.93
102 ,$35.17,$37.25,$39.01,$40.00,$42.58,$44.08,$46.33
103 ,$35.48,$37.60,$39.36,$40.35,$42.95,$44.48,$46.73
104 ,$35.79,$37.95,$39.71,$40.70,$43.32,$44.88,$47.13
105 ,$36.10,$38.30,$40.06,$41.05,$43.69,$45.28,$47.53
106 ,$36.41,$38.65,$40.41,$41.40,$44.06,$45.68,$47.93
107 ,$36.72,$39.00,$40.76,$41.75,$44.43,$46.08,$48.33
108 ,$37.03,$39.33,$41.11,$42.10,$44.80,$46.48,$48.73
109 ,$37.34,$39.66,$41.46,$42.45,$45.17,$46.88,$49.13
110 ,$37.65,$39.99,$41.81,$42.80,$45.54,$47.28,$49.53
111 ,$37.96,$40.32,$42.16,$43.15,$45.91,$47.68,$49.93
112 ,$38.27,$40.65,$42.51,$43.50,$46.28,$48.08,$50.33
113 ,$38.58,$40.98,$42.86,$43.85,$46.65,$48.48,$50.73
114 ,$38.89,$41.31,$43.21,$44.20,$47.02,$48.88,$51.13
115 ,$39.20,$41.63,$43.56,$44.55,$47.39,$49.28,$51.53
116 ,$39.51,$41.95,$43.91,$44.90,$47.76,$49.68,$51.93
117 ,$39.82,$42.27,$44.26,$45.25,$48.13,$50.08,$52.33
118 ,$40.13,$42.59,$44.61,$45.60,$48.50,$50.48,$52.73
119 ,$40.44,$42.91,$44.96,$45.95,$48.87,$50.88,$53.13
120 ,$40.75,$43.23,$45.31,$46.30,$49.24,$51.26,$53.53
121 ,$41.06,$43.55,$45.66,$46.65,$49.61,$51.64,$53.93
122 ,$41.37,$43.87,$46.01,$47.00,$49.98,$52.02,$54.33
123 ,$41.68,$44.19,$46.36,$47.35,$50.35,$52.40,$54.73
124 ,$41.99,$44.51,$46.71,$47.70,$50.72,$52.78,$55.13
125 ,$42.30,$44.83,$47.06,$48.05,$51.09,$53.16,$55.53
126 ,$42.61,$45.15,$47.41,$48.40,$51.46,$53.54,$55.93
127 ,$42.92,$45.47,$47.76,$48.75,$51.83,$53.92,$56.33
128 ,$43.23,$45.79,$48.11,$49.10,$52.20,$54.30,$56.73
129 ,$43.54,$46.11,$48.46,$49.45,$52.57,$54.68,$57.13
130 ,$43.85,$46.43,$48.81,$49.80,$52.94,$55.06,$57.53
131 ,$44.16,$46.75,$49.16,$50.15,$53.31,$55.44,$57.93
132 ,$44.47,$47.07,$49.51,$50.50,$53.68,$55.82,$58.33
133 ,$44.78,$47.39,$49.86,$50.85,$54.05,$56.20,$58.73
134 ,$45.09,$47.71,$50.21,$51.20,$54.42,$56.58,$59.13
135 ,$45.40,$48.03,$50.56,$51.55,$54.79,$56.96,$59.53
136 ,$45.71,$48.35,$50.91,$51.90,$55.16,$57.34,$59.93
137 ,$46.02,$48.67,$51.26,$52.25,$55.53,$57.72,$60.33
138 ,$46.33,$48.99,$51.61,$52.60,$55.90,$58.10,$60.73
139 ,$46.64,$49.31,$51.96,$52.95,$56.27,$58.48,$61.13
140 ,$46.95,$49.63,$52.31,$53.30,$56.64,$58.86,$61.53
141 ,$47.26,$49.95,$52.66,$53.65,$57.01,$59.24,$61.93
142 ,$47.57,$50.27,$53.01,$54.00,$57.38,$59.62,$62.33
143 ,$47.88,$50.59,$53.36,$54.35,$57.75,$60.00,$62.73
144 ,$48.19,$50.91,$53.71,$54.70,$58.12,$60.38,$63.13
145 ,$48.50,$51.23,$54.06,$55.35,$58.49,$60.76,$63.53
146 ,$48.81,$51.55,$54.41,$55.40,$58.86,$61.14,$63.93
147 ,$49.12,$51.87,$54.76,$55.75,$59.23,$61.52,$64.33
148 ,$49.43,$52.19,$55.11,$56.10,$59.60,$61.90,$64.73
149 ,$49.74,$52.51,$55.46,$56.45,$59.99,$62.28,$65.13
150 ,$50.05,$52.83,$55.81,$56.80,$60.34,$62.66,$65.53
